# sfho.eos converted to units with G=c=Msun=1
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
1.6205760253310928e-16 -1.0749851584075376e-03 1.1093557498949272e-21
1.8919202777793739e-16 -1.0738951759806659e-03 1.3636892024613236e-21
2.2086975751363006e-16 -1.0727474700203965e-03 1.6763317277489710e-21
2.5785150863433087e-16 -1.0715389835906919e-03 2.0606513979768215e-21
3.0102537012518752e-16 -1.0703127053970363e-03 2.3391139918845460e-21
3.5142812985248756e-16 -1.0691333771343237e-03 2.5914095793769044e-21
4.1027017224580168e-16 -1.0680116555782382e-03 2.8856643775359785e-21
4.7896454477122863e-16 -1.0669393861163501e-03 3.2288579142235732e-21
5.5916089120528651e-16 -1.0659095828395859e-03 3.6291334689588008e-21
6.5278506659157520e-16 -1.0649162599357664e-03 4.0959955205063426e-21
7.6208538520360230e-16 -1.0639542868046137e-03 4.6405407975653679e-21
8.8968661212387791e-16 -1.0630192636410518e-03 5.2757296362748108e-21
1.0386529950065867e-15 -1.0621074145313880e-03 6.0167058275532837e-21
1.2125618496841391e-15 -1.0612154954560138e-03 6.8811740902133988e-21
1.4155894667208818e-15 -1.0603407150069355e-03 7.8898467188483373e-21
1.6526114018951857e-15 -1.0594806658932310e-03 9.0669735387557577e-21
1.9293195590105787e-15 -1.0586332655941888e-03 1.0440972701582049e-20
2.2523588766918601e-15 -1.0577967047293857e-03 1.2045183710975737e-20
2.6294869015966701e-15 -1.0569694019306741e-03 1.3918770190026300e-20
3.0697600800737628e-15 -1.0561499641165151e-03 1.6107806777462838e-20
3.5837512419219425e-15 -1.0553371512170839e-03 1.8666593787118673e-20
4.1838034989589032e-15 -1.0545298445048257e-03 2.1659255386075722e-20
4.8843266555837966e-15 -1.0537270177854996e-03 2.5161692894719829e-20
5.7021432494099504e-15 -1.0529277107661494e-03 2.9263985681807005e-20
6.6568925318745239e-15 -1.0521310039675047e-03 3.4073359971568230e-20
7.7715020901154519e-15 -1.0513359946263678e-03 3.9717880909785374e-20
